model,outer_fold,layer,C,inner_mean_auroc,auroc,auprc,macro_f1,balanced_accuracy,n_iter
Qwen2.5-0.5B-Instruct,1,7,0.1,0.916376285145646,0.9,0.8942940044265447,0.7882352941176471,0.7925,183
Qwen2.5-0.5B-Instruct,1,8,0.1,0.9116440540452556,0.8995,0.8600927773103739,0.8099614954664016,0.8125,174
Qwen2.5-0.5B-Instruct,1,9,0.1,0.9179845641875118,0.887,0.8182938056278746,0.8190045248868778,0.8175,501
Qwen2.5-0.5B-Instruct,1,10,0.1,0.9185936147355466,0.9319999999999999,0.917096245469128,0.8208063713290195,0.8225,394
Qwen2.5-0.5B-Instruct,1,11,0.1,0.9263167359947609,0.965,0.9573730412714564,0.91,0.91,170
Qwen2.5-0.5B-Instruct,1,12,0.1,0.9319890920848398,0.964,0.9461644000599503,0.8886689757545769,0.895,156
Qwen2.5-0.5B-Instruct,1,13,1.0,0.9514934064826114,0.9775,0.9740189773066659,0.8770339088312011,0.88,171
Qwen2.5-0.5B-Instruct,1,14,0.1,0.9607244572512572,0.982,0.9777098827232291,0.9328023892483823,0.935,82
Qwen2.5-0.5B-Instruct,1,15,0.1,0.9739189194741621,0.992,0.9908387114399966,0.9328023892483823,0.935,70
Qwen2.5-0.5B-Instruct,1,16,100.0,0.9739212899355584,0.9904999999999999,0.9902923431329531,0.9438832772166106,0.945,174
Qwen2.5-0.5B-Instruct,1,17,100.0,0.9769671747987716,0.995,0.994028113973557,0.9663299663299663,0.9675,170
Qwen2.5-0.5B-Instruct,1,18,0.1,0.9727841005884749,0.9865,0.9807838853011727,0.9438832772166106,0.945,75
Qwen2.5-0.5B-Instruct,1,19,0.1,0.9738745128306755,0.985,0.9778265516673517,0.9552015928322548,0.9575,81
Qwen2.5-0.5B-Instruct,1,20,100.0,0.9733812988295294,0.9864999999999999,0.9780716823673925,0.9663299663299663,0.9675,232
Qwen2.5-0.5B-Instruct,1,21,0.1,0.9611678915630854,0.978,0.9763169570157066,0.9219814241486068,0.9275,91
Qwen2.5-0.5B-Instruct,1,22,0.01,0.955177735615171,0.9705,0.9671941062327687,0.9330357142857143,0.9375,22
Qwen2.5-0.5B-Instruct,1,23,0.01,0.9559911199355486,0.969,0.9657834855006446,0.8993913799528008,0.9025000000000001,22
Qwen2.5-0.5B-Instruct,1,24,0.1,0.9617673022347762,0.97,0.9705311675007016,0.9109351806036615,0.9175,95
Qwen2.5-0.5B-Instruct,2,0,0.01,0.5,0.5,0.4444444444444444,0.35714285714285715,0.5,10
Qwen2.5-0.5B-Instruct,2,1,1.0,0.7563772522938955,0.8015,0.7322136294245379,0.7312095569935291,0.7324999999999999,875
Qwen2.5-0.5B-Instruct,2,2,0.1,0.8518956263722997,0.8969999999999999,0.8952510177946175,0.8208063713290195,0.8225,197
Qwen2.5-0.5B-Instruct,2,3,0.1,0.8605655099131115,0.9239999999999999,0.9270049643195859,0.8770339088312011,0.88,197
Qwen2.5-0.5B-Instruct,2,4,0.1,0.8584731826541646,0.921,0.9222847282801472,0.8393676695563488,0.835,236
Qwen2.5-0.5B-Instruct,2,5,0.01,0.8761421278083251,0.9595,0.9520321189640213,0.91,0.91,33
Qwen2.5-0.5B-Instruct,2,6,0.01,0.883159641725304,0.9604999999999999,0.9540219296654483,0.8656047784967645,0.8674999999999999,34
Qwen2.5-0.5B-Instruct,2,7,0.1,0.9042338336903248,0.9525,0.9281252674423381,0.8993913799528008,0.9025000000000001,198
Qwen2.5-0.5B-Instruct,2,8,0.1,0.8959519156646727,0.9249999999999999,0.8681376906970967,0.8776418242491657,0.885,180
Qwen2.5-0.5B-Instruct,2,9,0.1,0.8956372764220318,0.9309999999999999,0.8976266463721305,0.9219814241486068,0.9275,486
Qwen2.5-0.5B-Instruct,2,10,0.1,0.9066586576677631,0.9535,0.9349987321335215,0.8883928571428572,0.8925000000000001,381
Qwen2.5-0.5B-Instruct,2,11,0.01,0.9321766745966502,0.9615,0.9507796754509465,0.899888765294772,0.9075,42
Qwen2.5-0.5B-Instruct,2,12,0.1,0.9319682320245541,0.9684999999999999,0.960701476835008,0.9219814241486068,0.9275,152
Qwen2.5-0.5B-Instruct,2,13,0.1,0.9610326172327487,0.9865,0.9836803692951526,0.9438832772166106,0.945,105
Qwen2.5-0.5B-Instruct,2,14,0.1,0.9646531019383738,0.9945,0.9931244343198772,0.9552015928322548,0.9575,97
Qwen2.5-0.5B-Instruct,2,15,0.1,0.9747323037945398,0.993,0.9928221288515406,0.9438832772166106,0.945,62
Qwen2.5-0.5B-Instruct,2,16,0.1,0.971913351102312,0.9975,0.9971022727272727,0.9663299663299663,0.9675,69
Qwen2.5-0.5B-Instruct,2,17,10.0,0.9756953432443906,0.999,0.998765243902439,0.9775,0.9775,161
Qwen2.5-0.5B-Instruct,2,18,10.0,0.9699412852515265,0.9955,0.994815210056915,0.9661611730793332,0.965,185
Qwen2.5-0.5B-Instruct,2,19,0.1,0.967820828517346,0.9950000000000001,0.9947831632653061,0.9663299663299663,0.9675,81
Qwen2.5-0.5B-Instruct,2,20,0.1,0.9660959227747926,0.992,0.9928571428571429,0.9775,0.9775,85
Qwen2.5-0.5B-Instruct,2,21,0.1,0.9592021469426895,0.974,0.9797605379694933,0.955,0.955,81
Qwen2.5-0.5B-Instruct,2,22,10.0,0.9532186282866842,0.9715,0.975770187757417,0.9214365881032547,0.9225000000000001,219
Qwen2.5-0.5B-Instruct,2,23,1.0,0.952228723607678,0.9725,0.9755124525606935,0.9325,0.9325,155
Qwen2.5-0.5B-Instruct,2,24,10.0,0.9561116974052298,0.9725,0.9728232073762777,0.8883928571428572,0.8925000000000001,211
Qwen2.5-0.5B-Instruct,3,0,0.01,0.5,0.5,0.4444444444444444,0.35714285714285715,0.5,10
Qwen2.5-0.5B-Instruct,3,1,0.01,0.7910743278714744,0.7469999999999999,0.7057624977588284,0.625974025974026,0.6275,46
Qwen2.5-0.5B-Instruct,3,2,0.1,0.8447570608933606,0.8545,0.8184596078575194,0.7984071677451469,0.8,143
Qwen2.5-0.5B-Instruct,3,3,0.1,0.8656247066554023,0.8699999999999999,0.855777714068968,0.7722672064777327,0.77,138
Qwen2.5-0.5B-Instruct,3,4,0.1,0.8616431216637732,0.8724999999999999,0.8518999154626669,0.7975,0.7975,138
Qwen2.5-0.5B-Instruct,3,5,100.0,0.8792371602378174,0.914,0.8886485422500701,0.8041223914991678,0.8,462
Qwen2.5-0.5B-Instruct,3,6,1.0,0.9115361190363537,0.9009999999999999,0.895236909782289,0.8285714285714285,0.825,345
Qwen2.5-0.5B-Instruct,3,7,0.1,0.907962727497131,0.9285000000000001,0.9265880323361647,0.8070861177657294,0.8049999999999999,167
Qwen2.5-0.5B-Instruct,3,8,0.01,0.891064182296699,0.9095,0.900110596444667,0.8316498316498316,0.8325,35
Qwen2.5-0.5B-Instruct,3,9,0.1,0.8952926113350408,0.925,0.9184187576328255,0.8057142857142857,0.8025,428
Qwen2.5-0.5B-Instruct,3,10,0.1,0.8991449271652031,0.9405000000000001,0.925205724114659,0.8623151453340132,0.8574999999999999,366
Qwen2.5-0.5B-Instruct,3,11,10.0,0.9462052231694585,0.9550000000000001,0.9618315036383088,0.897869121170092,0.895,432
Qwen2.5-0.5B-Instruct,3,12,0.1,0.9460915990532061,0.9614999999999999,0.9654331072375812,0.91,0.91,156
Qwen2.5-0.5B-Instruct,3,13,1.0,0.9584096226825976,0.9774999999999999,0.9778121811621252,0.9432606228722733,0.94,188
Qwen2.5-0.5B-Instruct,3,14,10.0,0.9680932735471363,0.985,0.9821570844809129,0.9432606228722733,0.94,217
Qwen2.5-0.5B-Instruct,3,15,0.1,0.9727505980674103,0.99,0.9890717641571679,0.9438832772166106,0.945,60
Qwen2.5-0.5B-Instruct,3,16,1.0,0.9757065634283318,0.9875,0.9874339310768995,0.9325,0.9325,81
Qwen2.5-0.5B-Instruct,3,17,10.0,0.9798017725362135,0.99,0.9893216174229027,0.9438832772166106,0.945,111
Qwen2.5-0.5B-Instruct,3,18,10.0,0.9690894994565321,0.9895,0.9884838036183822,0.955,0.955,138
Qwen2.5-0.5B-Instruct,3,19,100.0,0.9729136858114611,0.9824999999999999,0.9817275423388214,0.9104031856645097,0.9125000000000001,140
Qwen2.5-0.5B-Instruct,3,20,0.1,0.9672852622725898,0.9854999999999999,0.9858525498891353,0.9438832772166106,0.945,61
Qwen2.5-0.5B-Instruct,3,21,0.1,0.9620405374183654,0.9890000000000001,0.9879023177735475,0.9328023892483823,0.935,68
Qwen2.5-0.5B-Instruct,3,22,10.0,0.9645925761573935,0.9850000000000001,0.9832944948989065,0.9104031856645097,0.9125000000000001,145
Qwen2.5-0.5B-Instruct,3,23,10.0,0.9613347720453701,0.9785,0.9741609421149523,0.9214365881032547,0.9225000000000001,188
Qwen2.5-0.5B-Instruct,3,24,10.0,0.9670175581655917,0.9820000000000001,0.9787521115081514,0.898989898989899,0.9,191
Qwen2.5-0.5B-Instruct,4,0,0.01,0.5,0.5,0.4444444444444444,0.35714285714285715,0.5,10
Qwen2.5-0.5B-Instruct,4,1,0.1,0.7684681857215416,0.792,0.7251200436297408,0.7098214285714286,0.7124999999999999,313
Qwen2.5-0.5B-Instruct,4,2,0.1,0.8542384323854332,0.8165000000000001,0.7925039911174225,0.7843903669146388,0.7825,186
Qwen2.5-0.5B-Instruct,4,3,0.1,0.8691299869371774,0.832,0.815676633853805,0.775,0.775,183
Qwen2.5-0.5B-Instruct,4,4,0.1,0.8641052409005098,0.8574999999999999,0.8267699809549791,0.785687429502444,0.7849999999999999,233
Qwen2.5-0.5B-Instruct,4,5,0.01,0.8717782664088869,0.9095000000000001,0.8829994520308615,0.855108359133127,0.86,32
Qwen2.5-0.5B-Instruct,4,6,0.1,0.8967482326629984,0.9485000000000001,0.9430673154127137,0.9104031856645097,0.9125000000000001,192
Qwen2.5-0.5B-Instruct,4,7,0.1,0.9126744145987552,0.944,0.9378117054457047,0.8984835192379997,0.8975,186
Qwen2.5-0.5B-Instruct,4,8,0.1,0.8958839624379848,0.9500000000000001,0.9448262480767531,0.9089068825910931,0.905,187
Qwen2.5-0.5B-Instruct,4,9,0.1,0.8960167082761658,0.9329999999999999,0.9190348369568243,0.8868778280542986,0.885,369
Qwen2.5-0.5B-Instruct,4,10,0.1,0.9099834668219161,0.9225,0.8899463594989879,0.8432055749128919,0.845,267
Qwen2.5-0.5B-Instruct,4,11,0.1,0.9408528793678516,0.953,0.9156804817987154,0.9214365881032547,0.9225000000000001,138
Qwen2.5-0.5B-Instruct,4,12,0.1,0.939159105684967,0.959,0.9385021052495282,0.9107142857142857,0.915,133
Qwen2.5-0.5B-Instruct,4,13,0.1,0.9617307971292764,0.954,0.938777522206408,0.8993913799528008,0.9025000000000001,87
Qwen2.5-0.5B-Instruct,4,14,1.0,0.9708671874728386,0.9585,0.9454006280093938,0.91,0.91,190
Qwen2.5-0.5B-Instruct,4,15,0.01,0.9748345496960912,0.9575,0.9343851560480937,0.898989898989899,0.9,22
Qwen2.5-0.5B-Instruct,4,16,0.1,0.9758544802194479,0.971,0.9648533110617865,0.9095022624434389,0.9075,66
Qwen2.5-0.5B-Instruct,4,17,0.1,0.976531167932651,0.965,0.956466473641422,0.9095022624434389,0.9075,61
Qwen2.5-0.5B-Instruct,4,18,1.0,0.975062430051635,0.954,0.9501721404769257,0.897869121170092,0.895,111
Qwen2.5-0.5B-Instruct,4,19,0.1,0.9766800329083255,0.9550000000000001,0.9453440915522981,0.897869121170092,0.895,66
Qwen2.5-0.5B-Instruct,4,20,0.1,0.9747018038579102,0.9605,0.9562158743209903,0.9095022624434389,0.9075,63
Qwen2.5-0.5B-Instruct,4,21,0.01,0.9688933832836959,0.9455,0.9315126669314127,0.8416289592760181,0.8400000000000001,22
Qwen2.5-0.5B-Instruct,4,22,0.01,0.9677704167049891,0.9390000000000001,0.9200405359121919,0.8533650833437774,0.8525,21
Qwen2.5-0.5B-Instruct,4,23,0.01,0.9681207708993309,0.9329999999999999,0.9141489212109397,0.8200000000000001,0.8200000000000001,21
Qwen2.5-0.5B-Instruct,4,24,0.01,0.9691327998847008,0.94,0.9202591588044478,0.8308058653966662,0.8300000000000001,21
Qwen2.5-1.5B-Instruct,0,0,0.01,0.5,0.5,0.4444444444444444,0.35714285714285715,0.5,10
Qwen2.5-1.5B-Instruct,0,1,0.01,0.8144070954546878,0.8335,0.834011658177306,0.775,0.775,45
Qwen2.5-1.5B-Instruct,0,2,0.01,0.8748288921948925,0.859,0.8596917198050261,0.7984071677451469,0.8,40
Qwen2.5-1.5B-Instruct,0,3,0.01,0.8838699899903316,0.8744999999999999,0.8814699219486417,0.7882352941176471,0.7925,41
Qwen2.5-1.5B-Instruct,0,4,0.01,0.8774567856985955,0.8845,0.8824053182775264,0.7886540600667409,0.7949999999999999,53
Qwen2.5-1.5B-Instruct,0,5,0.01,0.865720631326564,0.8785000000000001,0.8736089242329167,0.7664071190211346,0.7725,52
Qwen2.5-1.5B-Instruct,0,6,0.1,0.8897694362821557,0.8724999999999999,0.8672647331872255,0.7555555555555555,0.765,252
Qwen2.5-1.5B-Instruct,0,7,0.1,0.8949362519718288,0.8535,0.8479828334386748,0.7882352941176471,0.7925,203
Qwen2.5-1.5B-Instruct,0,8,0.1,0.9016046759405438,0.8425,0.8186870188823021,0.7428890821016023,0.745,143
Qwen2.5-1.5B-Instruct,0,9,0.1,0.9112674667447971,0.887,0.8748772863572751,0.7984071677451469,0.8,116
Qwen2.5-1.5B-Instruct,0,10,0.1,0.9394870195114257,0.9179999999999999,0.8991417109479476,0.8221343873517787,0.8300000000000001,121
Qwen2.5-1.5B-Instruct,0,11,0.1,0.9565642975011229,0.955,0.9396256779689877,0.8776418242491657,0.885,110
Qwen2.5-1.5B-Instruct,0,12,0.1,0.9751202693096994,0.9644999999999999,0.9565123976031333,0.899888765294772,0.9075,82
Qwen2.5-1.5B-Instruct,0,13,1.0,0.9749002904921426,0.9625,0.9576865369044048,0.8776418242491657,0.885,130
Qwen2.5-1.5B-Instruct,0,14,100.0,0.982482764375189,0.976,0.9714744904569087,0.9107142857142857,0.915,180
Qwen2.5-1.5B-Instruct,0,15,0.1,0.9805370896612798,0.9815,0.9774006611612411,0.9214365881032547,0.9225000000000001,77
Qwen2.5-1.5B-Instruct,0,16,1.0,0.9881957343705207,0.986,0.9828863451246979,0.9552015928322548,0.9575,107
Qwen2.5-1.5B-Instruct,0,17,100.0,0.9876132329901223,0.99,0.9890189564643994,0.9663299663299663,0.9675,152
Qwen2.5-1.5B-Instruct,0,18,10.0,0.9879038515572826,0.9925,0.9917059595020121,0.9663299663299663,0.9675,122
Qwen2.5-1.5B-Instruct,0,19,100.0,0.9859305214604192,0.9915,0.989295970061572,0.9552015928322548,0.9575,138
Qwen2.5-1.5B-Instruct,0,20,1.0,0.986386282171507,0.993,0.9911265139396039,0.9663299663299663,0.9675,96
Qwen2.5-1.5B-Instruct,0,21,100.0,0.9879177582641395,0.997,0.9962099277559804,0.9776007964161274,0.98,115
Qwen2.5-1.5B-Instruct,0,22,1.0,0.9859556483512177,0.9954999999999999,0.9938890478149426,0.9776007964161274,0.98,75
Qwen2.5-1.5B-Instruct,0,23,100.0,0.9858181615902445,0.9915,0.9898323940194114,0.9661611730793332,0.965,109
Qwen2.5-1.5B-Instruct,0,24,100.0,0.9842290042703071,0.992,0.9899513374900372,0.955,0.955,145
Qwen2.5-1.5B-Instruct,0,25,0.01,0.9810639642142506,0.993,0.9897130867603317,0.9664637933176004,0.97,27
Qwen2.5-1.5B-Instruct,0,26,1.0,0.9813297719521318,0.9944999999999999,0.9927138155269055,0.955,0.955,94
Qwen2.5-1.5B-Instruct,0,27,100.0,0.9796791406666557,0.9935,0.9920104094558524,0.9663299663299663,0.9675,135
Qwen2.5-1.5B-Instruct,0,28,10.0,0.9810797672902245,0.995,0.993597711043154,0.9663299663299663,0.9675,128
Qwen2.5-1.5B-Instruct,1,0,0.01,0.5,0.5,0.4444444444444444,0.35714285714285715,0.5,10
Qwen2.5-1.5B-Instruct,1,1,0.01,0.8437832753518476,0.8165,0.739507018520092,0.7767857142857142,0.78,46
Qwen2.5-1.5B-Instruct,1,2,0.01,0.866910128855121,0.893,0.8732919088347038,0.8,0.81,45
Qwen2.5-1.5B-Instruct,1,3,0.01,0.8734955866749727,0.8795,0.8609803226842858,0.8109010011123471,0.8175,53
Qwen2.5-1.5B-Instruct,1,4,0.1,0.8894952529140082,0.8825,0.8260816982913859,0.8109010011123471,0.8175,287
Qwen2.5-1.5B-Instruct,1,5,0.01,0.8721749236158324,0.8865000000000001,0.831512700743181,0.8214285714285714,0.825,82
Qwen2.5-1.5B-Instruct,1,6,0.1,0.8935353092867407,0.885,0.8412597981194865,0.8099614954664016,0.8125,281
Qwen2.5-1.5B-Instruct,1,7,0.1,0.8855884164717357,0.8875,0.8429004439945252,0.8328173374613003,0.8375,281
Qwen2.5-1.5B-Instruct,1,8,0.1,0.9070790194886694,0.8955,0.8846181816804737,0.84375,0.8474999999999999,247
Qwen2.5-1.5B-Instruct,1,9,0.1,0.9158402448086106,0.911,0.8813471847270204,0.8328173374613003,0.8375,170
Qwen2.5-1.5B-Instruct,1,10,10.0,0.9300928809987292,0.9359999999999999,0.9354082048419163,0.8883928571428572,0.8925000000000001,270
Qwen2.5-1.5B-Instruct,1,11,0.01,0.9387654510624565,0.965,0.96008022618324,0.8751733703190014,0.8725,43
Qwen2.5-1.5B-Instruct,1,12,0.01,0.9614354376393238,0.966,0.9637889421587442,0.8993913799528008,0.9025000000000001,48
Qwen2.5-1.5B-Instruct,1,13,0.01,0.9607102344828807,0.967,0.9606773342636987,0.9210427371851109,0.9199999999999999,46
Qwen2.5-1.5B-Instruct,1,14,0.1,0.9743008798204519,0.9784999999999999,0.9705576453103482,0.9214365881032547,0.9225000000000001,111
Qwen2.5-1.5B-Instruct,1,15,0.1,0.9780428901803163,0.9784999999999999,0.9686071370532001,0.9438832772166106,0.945,101
Qwen2.5-1.5B-Instruct,1,16,10.0,0.9872510264887998,0.9864999999999999,0.9786647754604856,0.9776007964161274,0.98,156
Qwen2.5-1.5B-Instruct,1,17,10.0,0.985967026565919,0.989,0.9811201593576218,0.9664637933176004,0.97,172
Qwen2.5-1.5B-Instruct,1,18,0.1,0.9861484458780995,0.986,0.9797517341412985,0.9663299663299663,0.9675,93
Qwen2.5-1.5B-Instruct,1,19,1.0,0.9886892644331864,0.9814999999999999,0.9711186766169033,0.9664637933176004,0.97,162
Qwen2.5-1.5B-Instruct,1,20,1.0,0.9869616721677175,0.984,0.9747801726412042,0.9552015928322548,0.9575,183
Qwen2.5-1.5B-Instruct,1,21,0.1,0.9888798495294319,0.9884999999999999,0.9846580505063076,0.9552015928322548,0.9575,101
Qwen2.5-1.5B-Instruct,1,22,0.01,0.9871639515401837,0.9884999999999999,0.984308522623885,0.9664637933176004,0.97,26
Qwen2.5-1.5B-Instruct,1,23,0.01,0.987738077290316,0.9884999999999999,0.983718078941336,0.9664637933176004,0.97,30
Qwen2.5-1.5B-Instruct,1,24,0.01,0.9854772892414871,0.9870000000000001,0.9820567218875371,0.9442724458204335,0.95,30
Qwen2.5-1.5B-Instruct,1,25,0.01,0.984367281185079,0.9865,0.980554922330505,0.9442724458204335,0.95,31
Qwen2.5-1.5B-Instruct,1,26,0.01,0.9872782077794752,0.99,0.9858830422407665,0.9332013854527461,0.94,30
Qwen2.5-1.5B-Instruct,1,27,0.1,0.987642468680674,0.988,0.9830779651433275,0.9553571428571428,0.96,91
Qwen2.5-1.5B-Instruct,1,28,0.1,0.9873608578668186,0.9914999999999999,0.9881975807109682,0.9553571428571428,0.96,86
Qwen2.5-1.5B-Instruct,2,0,0.01,0.5,0.5,0.4444444444444444,0.35714285714285715,0.5,10
Qwen2.5-1.5B-Instruct,2,1,0.01,0.818206787041857,0.89,0.8832317806385153,0.8308058653966662,0.8300000000000001,45
Qwen2.5-1.5B-Instruct,2,2,0.01,0.8861830862206345,0.919,0.9065357869589226,0.8331479421579533,0.8400000000000001,46
Qwen2.5-1.5B-Instruct,2,3,0.01,0.8820888252973113,0.917,0.8920903819053778,0.8323189665880015,0.835,52
Qwen2.5-1.5B-Instruct,2,4,0.01,0.8883599599360418,0.942,0.9190117741675037,0.8759243012908886,0.875,81
Qwen2.5-1.5B-Instruct,2,5,0.01,0.8783166310623365,0.9395,0.9160239380116266,0.8540965207631874,0.855,81
Qwen2.5-1.5B-Instruct,2,6,0.1,0.8935702340846432,0.9415,0.9178245531486398,0.8533650833437774,0.8525,271
Qwen2.5-1.5B-Instruct,2,7,0.1,0.8789626608081503,0.9405,0.923317305855472,0.8416289592760181,0.8400000000000001,283
Qwen2.5-1.5B-Instruct,2,8,0.1,0.8817700772549172,0.9480000000000001,0.9395059437514814,0.8861336032388665,0.8825,245
Qwen2.5-1.5B-Instruct,2,9,0.1,0.9042139218145976,0.964,0.9598820319833926,0.9104031856645097,0.9125000000000001,168
Qwen2.5-1.5B-Instruct,2,10,0.1,0.9283450607960136,0.9830000000000001,0.9795571661829114,0.9214365881032547,0.9225000000000001,162
Qwen2.5-1.5B-Instruct,2,11,1.0,0.9586439822992907,0.9790000000000001,0.9749995529628,0.9107142857142857,0.915,237
Qwen2.5-1.5B-Instruct,2,12,0.01,0.9653814657100117,0.9845,0.9827696768959935,0.9104031856645097,0.9125000000000001,47
Qwen2.5-1.5B-Instruct,2,13,1.0,0.9655704704986597,0.9784999999999999,0.9778489178711702,0.8996904024767802,0.905,183
Qwen2.5-1.5B-Instruct,2,14,0.01,0.9781716852495036,0.98,0.9740716303249117,0.9325,0.9325,37
Qwen2.5-1.5B-Instruct,2,15,0.1,0.9772084877688934,0.982,0.9805623014401903,0.9441063221960004,0.9475,96
Qwen2.5-1.5B-Instruct,2,16,100.0,0.9851801914131775,0.993,0.9917456891913414,0.9441063221960004,0.9475,175
Qwen2.5-1.5B-Instruct,2,17,10.0,0.9872429669200532,0.9884999999999999,0.9893495564888295,0.9441063221960004,0.9475,164
Qwen2.5-1.5B-Instruct,2,18,0.1,0.9877338104598031,0.9875,0.9877438522582607,0.9552015928322548,0.9575,93
Qwen2.5-1.5B-Instruct,2,19,0.1,0.9876579556951283,0.9875,0.9870211735455638,0.9552015928322548,0.9575,87
Qwen2.5-1.5B-Instruct,2,20,0.1,0.9886777281877254,0.993,0.9916717774839252,0.9552015928322548,0.9575,94
Qwen2.5-1.5B-Instruct,2,21,1.0,0.9909396224518726,0.9964999999999999,0.9957373813804987,0.9663299663299663,0.9675,155
Qwen2.5-1.5B-Instruct,2,22,0.1,0.989060320657054,0.994,0.9924198446419094,0.9663299663299663,0.9675,87
Qwen2.5-1.5B-Instruct,2,23,0.01,0.988114980652294,0.9924999999999999,0.9904782346356614,0.9438832772166106,0.945,25
Qwen2.5-1.5B-Instruct,2,24,0.01,0.9854861389640325,0.99,0.9866427170249421,0.9438832772166106,0.945,29
Qwen2.5-1.5B-Instruct,2,25,0.01,0.9830208591121009,0.991,0.9881329572651825,0.9438832772166106,0.945,26
Qwen2.5-1.5B-Instruct,2,26,0.01,0.9853740951553774,0.9914999999999999,0.9889394088780856,0.9552015928322548,0.9575,27
Qwen2.5-1.5B-Instruct,2,27,0.1,0.9868063279308937,0.9905,0.9878710005422355,0.9328023892483823,0.935,78
Qwen2.5-1.5B-Instruct,2,28,0.1,0.9881280972053523,0.9890000000000001,0.9858068119667527,0.9552015928322548,0.9575,78
